,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
146,H0,1991,1991,1991,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,68215440.0,0.0,0.0,0.0,68215440.0,0.0,19813798,0.0,0.0,0
154,H0,1991,1991,1991,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,79649016.0,0.0,0.0,0.0,31859604.0,0.0,2971115,0.0,0.0,0
179,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,1312.0,0.0,0.0,0.0,1312.0,0.0,9655,0.0,0.0,0
178,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,241975.0,0.0,0.0,0.0,241975.0,0.0,1208365,0.0,0.0,0
180,H0,1992,1992,1992,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,6108.0,0.0,0.0,0.0,6108.0,0.0,90791,0.0,0.0,0
175,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,53125.0,0.0,0.0,0.0,21250.0,0.0,2125,0.0,0.0,0
182,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,848750.0,0.0,0.0,0.0,848750.0,0.0,4759894,0.0,0.0,0
183,H0,1992,1992,1992,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,750.0,0.0,0.0,0.0,750.0,0.0,20492,0.0,0.0,0
177,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108,Gold,8,Weight in kilograms,10697.0,0.0,0.0,0.0,10697.0,0.0,118738896,0.0,0.0,0
181,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,272.0,0.0,0.0,0.0,272.0,0.0,21204,0.0,0.0,0
